{'lipoC2': 8.0, 'temp': 28.56, 'lipoC3S3': 12.41, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:01:19.906780', 'mgs': 1, 'depth': 1.157, 'time': 1.26, 'pitch': -2.54, 'roll': -0.36}
{'lipoC2': 8.0, 'temp': 28.56, 'lipoC3S3': 12.41, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.15, 'datetime': '2018-10-12 20:01:19.942696', 'mgs': 1, 'depth': 1.233, 'time': 1.36, 'pitch': -2.15, 'roll': -0.81}
{'lipoC2': 8.0, 'temp': 28.56, 'lipoC3S3': 12.41, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.52, 'datetime': '2018-10-12 20:01:19.959285', 'mgs': 1, 'depth': 1.157, 'time': 1.45, 'pitch': -1.75, 'roll': -0.88}
{'lipoC2': 8.0, 'temp': 28.69, 'lipoC3S3': 12.41, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.0, 'datetime': '2018-10-12 20:01:19.982752', 'mgs': 1, 'depth': 1.157, 'time': 1.55, 'pitch': -1.45, 'roll': -0.63}
{'lipoC2': 8.0, 'temp': 28.69, 'lipoC3S3': 12.41, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.51, 'datetime': '2018-10-12 20:01:20.005937', 'mgs': 1, 'depth': 1.157, 'time': 1.65, 'pitch': -1.12, 'roll': -0.13}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.41, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.95, 'datetime': '2018-10-12 20:01:20.013156', 'mgs': 1, 'depth': 1.157, 'time': 1.74, 'pitch': -0.83, 'roll': 0.31}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.41, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.17, 'datetime': '2018-10-12 20:01:20.026054', 'mgs': 1, 'depth': 1.157, 'time': 1.84, 'pitch': -0.61, 'roll': 0.47}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.42, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.17, 'datetime': '2018-10-12 20:01:20.038949', 'mgs': 0, 'depth': 1.157, 'time': 1.94, 'pitch': -0.49, 'roll': 0.29}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.41, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.13, 'datetime': '2018-10-12 20:01:20.046137', 'mgs': 0, 'depth': 1.233, 'time': 2.03, 'pitch': -0.47, 'roll': 0.08}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.42, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.15, 'datetime': '2018-10-12 20:01:20.059074', 'mgs': 0, 'depth': 1.08, 'time': 2.13, 'pitch': -0.58, 'roll': -0.05}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.41, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.41, 'datetime': '2018-10-12 20:01:20.071983', 'mgs': 0, 'depth': 1.157, 'time': 2.23, 'pitch': -0.64, 'roll': 0.02}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.42, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.74, 'datetime': '2018-10-12 20:01:20.079218', 'mgs': 0, 'depth': 1.157, 'time': 2.33, 'pitch': -0.65, 'roll': 0.07}
